full_date,date,weekday,time,mood,activities,note_title,note
2024-12-31,31 dic,Martes,10:36 p.m.,bien,sueño medio | beber agua | andar | relajamiento | trabajo | familia | compras | limpiar | cocinar | nubes | calor | Frío | vacaciones | pedicura | Make-Up | Casa | trabajo | feliz | contento(a) | cansado(a) | estresado(a),"",""
2024-12-30,30 dic,Lunes,9:00 p.m.,meh,sueño malo | trabajo | familia | limpiar | calor | Frío | vacaciones | trabajo | cansado(a) | estresado(a),"",""
2024-12-29,29 dic,Domingo,10:33 p.m.,meh,sueño medio | beber agua | juegos | relajamiento | Redes | familia | compras | limpiar | cocinar | lavandería | soleado | calor | Frío | vacaciones | cuidados de la piel | Casa | mareos | náuseas | aburrido(a),"",""
2024-12-28,28 dic,Sábado,10:29 p.m.,meh,sueño medio | beber agua | leer | trabajo | familia | compras | calor | Frío | vacaciones | cuidados de la piel | Casa | escuela | cólicos | pechos sensibles | dolor de espalda | náuseas | cansado(a) | aburrido(a) | enojado(a),"",""
2024-12-27,27 dic,Viernes,10:25 p.m.,meh,sueño medio | beber agua | trabajo | familia | limpiar | cocinar | calor | vacaciones | trabajo | dolor de cabeza | pechos sensibles | dolor de espalda | cansado(a) | aburrido(a) | ansioso(a) | enojado(a) | estresado(a),"",""
2024-12-26,26 dic,Jueves,10:21 p.m.,meh,sueño medio | beber agua | trabajo | Redes | familia | calor | Frío | vacaciones | cuidados de la piel | trabajo | pechos sensibles | cansado(a) | enojado(a) | triste,"",""
2024-12-25,25 dic,Miércoles,10:20 p.m.,meh,beber agua | relajamiento | familia | limpiar | cocinar | lavandería | nubes | calor | Frío | vacaciones | cuidados de la piel | naturaleza | feliz | relajado(a) | aburrido(a),"",""
2024-12-24,24 dic,Martes,12:05 p.m.,meh,trabajo | Redes | familia | limpiar | cocinar | nubes | viento | Frío | vacaciones | cuidados de la piel | Make-Up | trabajo | feliz | cansado(a) | aburrido(a) | Incómoda,"",""
2024-12-23,23 dic,Lunes,12:02 p.m.,meh,sueño medio | beber agua | andar | trabajo | familia | nubes | calor | Frío | vacaciones | cuidados de la piel | trabajo,"",""
2024-12-22,22 dic,Domingo,12:00 p.m.,bien,beber agua | andar | películas y tv | relajamiento | Redes | Cantar | familia | compras | limpiar | cocinar | lavandería | nubes | calor | viento | Frío | vacaciones | corte de pelo | cuidados de la piel | Make-Up | Casa | viaje,"",""
2024-12-21,21 dic,Sábado,11:59 a.m.,meh,andar | películas y tv | trabajo | Redes | familia | limpiar | soleado | nubes | calor | Frío | cuidados de la piel | Casa | trabajo,"",""
2024-12-15,15 dic,Domingo,11:52 a.m.,meh,deporte | juegos | relajamiento | Redes | familia | compras | limpiar | cocinar | lavandería | nubes | calor | Frío | cuidados de la piel | Casa,"",""
2024-12-14,14 dic,Sábado,11:51 a.m.,meh,beber agua | Enfermo | trabajo | Redes | familia | limpiar | nubes | calor | Frío | cuidados de la piel | Casa | trabajo,"",""
2024-12-13,13 dic,Viernes,11:49 a.m.,meh,hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | nubes | calor | Frío | examen | cuidados de la piel | Make-Up | Casa | trabajo | escuela | gimnasio,"",""
2024-12-12,12 dic,Jueves,9:13 a.m.,mal,sueño malo | hacer ejercicio | trabajo | Estudiar | familia | amigos | calor | Frío | clase | examen | Casa | trabajo | escuela | gimnasio,"",""
2024-12-11,11 dic,Miércoles,9:10 a.m.,meh,sueño malo | hacer ejercicio | trabajo | Estudiar | familia | amigos | calor | Frío | examen | trabajo | escuela,"",""
2024-12-10,10 dic,Martes,9:00 p.m.,meh,hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | calor | Frío | clase | examen | Casa | trabajo | escuela | gimnasio,"",""
2024-12-09,9 dic,Lunes,9:08 a.m.,meh,sueño malo | hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | limpiar | calor | Frío | clase | examen | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-12-08,8 dic,Domingo,9:08 a.m.,meh,sueño medio,"",""
2024-12-07,7 dic,Sábado,9:04 a.m.,meh,trabajo | familia | compras | calor | Frío | tarea | cuidados de la piel | trabajo,"",""
2024-12-06,6 dic,Viernes,7:25 a.m.,meh,trabajo | familia | amigos | Sola | compras | limpiar | soleado | Frío | cuidados de la piel | Make-Up | Casa | trabajo | cita,"",""
2024-12-05,5 dic,Jueves,7:24 a.m.,meh,hacer ejercicio | familia | amigos | soleado | Frío | tarea | examen | cuidados de la piel | Make-Up,"",""
2024-12-04,4 dic,Miércoles,7:24 a.m.,meh,sueño malo | hacer ejercicio | trabajo | Estudiar | familia | amigos | soleado | Frío | clase | tarea | examen | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
