full_date,date,weekday,time,mood,activities,note_title,note
2024-12-31,31 Dec,Tuesday,10:45 p.m.,Bien,Buen sueño | Feliz | Emocionado | Relajado | Contento | Aburrido | Ansioso | Productivo | Motivado | Nostálgico | Evento | Iniciar temprano,,
2024-12-30,30 Dec,Monday,11:10 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Productivo | Motivado | Lectura | Iniciar temprano | Enfocado | IA & Data | Proyecto,,
2024-12-29,29 Dec,Sunday,11:03 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Productivo | Motivado | Iniciar temprano | Enfocado | Inglés | Estudio | Skin care,,
2024-12-28,28 Dec,Saturday,10:33 p.m.,Bien,Buen sueño | Relajado | Contento | Productivo | Motivado | Lectura | Enfocado | IA & Data,,
2024-12-27,27 Dec,Friday,11:56 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Productivo | Lectura | Enfocado | IA & Data | Proyecto,,
2024-12-26,26 Dec,Thursday,10:45 p.m.,Bien,Sueño medio | Relajado | IA & Data | Proyecto,,
2024-12-25,25 Dec,Wednesday,10:45 p.m.,Mal,Sueño malo | Cansado | Ansioso | Estresado | Decepcionado | Desmotivado | Pensativo | Preocupado | Iniciar temprano | Proyecto,,
2024-12-24,24 Dec,Tuesday,10:45 p.m.,Mal,Sueño malo | Relajado | Contento | Pensativo | Preocupado | Proyecto,,
2024-12-23,23 Dec,Monday,11:23 p.m.,Mal,Buen sueño | Relajado | Contento | Ansioso | Enojado | Estresado | Desesperado | Decepcionado | Salida | Skin care | Protector solar,,
2024-12-22,22 Dec,Sunday,10:45 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Productivo | Lectura | Enfocado | IA & Data | Skin care,,
2024-12-21,21 Dec,Saturday,11:15 p.m.,Increíble,Buen sueño | Feliz | Emocionado | Contento | Cansado | Salida | Vacaciones | Skin care,,
2024-12-20,20 Dec,Friday,10:54 p.m.,Bien,Buen sueño | Relajado | Contento | Lectura | Salida | Skin care | Protector solar,,
2024-12-19,19 Dec,Thursday,11:57 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Procrastinar | Productivo | Comer sano | Lectura | Algoritmos | Skin care,,
2024-12-18,18 Dec,Wednesday,10:45 p.m.,Meh,Sueño malo | Relajado | Contento | Aburrido | Ansioso | Procrastinar | Skin care | Protector solar,,
2024-12-17,17 Dec,Tuesday,10:45 p.m.,Meh,Sueño medio | Feliz | Relajado | Contento | Procrastinar | Nostálgico | Entretenimiento | Evento,,
2024-12-16,16 Dec,Monday,10:45 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Productivo | Lectura | Entretenimiento | Enfocado | IA & Data | Proyecto | Skin care | Protector solar,,
2024-12-15,15 Dec,Sunday,10:45 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Productivo | Ocupado | Motivado | Comer sano | Lectura | Entretenimiento | Enfocado | Inglés | IA & Data | Algoritmos | Proyecto | Skin care | Protector solar,,
2024-12-14,14 Dec,Saturday,10:25 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Cansado | Aburrido | Ocupado | Lectura | Entretenimiento | Enfocado | Inglés | IA & Data | Proyecto | Skin care | Protector solar,,
2024-12-13,13 Dec,Friday,10:45 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Ocupado | Nostálgico | Agua | Entretenimiento | Evento | Haircut | Skin care | Protector solar,,
2024-12-12,12 Dec,Thursday,11:55 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Productivo | Lectura | Hacer deberes | Limpiar | Skin care | Protector solar,,
2024-12-11,11 Dec,Wednesday,11:04 p.m.,Bien,Sueño medio | Feliz | Emocionado | Relajado | Contento | Procrastinar | Lectura | Entretenimiento | Hacer deberes | Skin care | Protector solar,,
2024-12-10,10 Dec,Tuesday,10:45 p.m.,Bien,Buen sueño | Ansioso,,
2024-12-09,9 Dec,Monday,10:54 p.m.,Meh,Sueño medio | Relajado | Aburrido | Procrastinar | Desesperado,,
2024-12-08,8 Dec,Sunday,11:13 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Productivo | Motivado | Lectura | Enfocado | IA & Data | Skin care | Protector solar,,
2024-12-07,7 Dec,Saturday,10:50 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Productivo | Lectura | Entretenimiento | Salida | Hacer deberes | Skin care | Protector solar,,
2024-12-06,6 Dec,Friday,10:45 p.m.,Meh,Buen sueño | Relajado | Contento | Ansioso | IA & Data | Skin care | Protector solar,,
2024-12-05,5 Dec,Thursday,11:44 p.m.,Bien,Buen sueño | Feliz | Emocionado | Relajado | Contento | Productivo | Motivado | Enfocado | IA & Data | Estudio | Skin care | Protector solar,,
2024-12-04,4 Dec,Wednesday,10:03 p.m.,Meh,Sueño medio | Relajado | Aburrido | Ansioso | Procrastinar | IA & Data | Examen | Skin care | Protector solar,,
2024-12-03,3 Dec,Tuesday,10:45 p.m.,Meh,Sueño medio | Aburrido | Ansioso | Procrastinar | Skin care | Protector solar,,
2024-12-02,2 Dec,Monday,11:20 p.m.,Bien,Sueño medio | Relajado | Ansioso | IA & Data | Skin care | Protector solar,,
2024-12-01,1 Dec,Sunday,10:45 p.m.,Bien,Sueño medio | Relajado | Skin care,,
2024-11-30,30 nov,Saturday,10:45 p.m.,Bien,Buen sueño | Feliz | Relajado | Procrastinar | Ocupado | Salida | Skin care,,
2024-11-29,29 nov,Friday,10:45 p.m.,Bien,Buen sueño | Relajado | Contento | Inseguro,,
2024-11-28,28 nov,Thursday,11:06 p.m.,Meh,Sueño medio | Cansado | Inseguro | Ansioso | Estresado | Miedo,,
2024-11-27,27 nov,Wednesday,10:03 p.m.,Meh,Sueño medio | Ansioso | Procrastinar | Estresado | IA & Data,,
2024-11-26,26 nov,Tuesday,10:45 p.m.,Bien,Sueño medio | Contento | Ansioso | Estresado,,
2024-11-25,25 nov,Monday,10:45 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Procrastinar | Preocupado | Entretenimiento,,
2024-11-24,24 nov,Sunday,6:05 p.m.,Bien,Buen sueño | Relajado | Contento,,
2024-11-23,23 nov,Saturday,8:12 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Motivado | Viaje | Tarea,,
2024-11-22,22 nov,Friday,10:45 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Viaje | Vacaciones | IA & Data,,
2024-11-21,21 nov,Thursday,10:31 p.m.,Bien,Sueño medio | Feliz | Emocionado | Relajado | Contento | Salida | Vacaciones,,
2024-11-20,20 nov,Wednesday,10:47 p.m.,Mal,Sueño medio | Feliz | Relajado | Contento | Inseguro | Ansioso | Estresado | Preocupado | Viaje | Vacaciones | IA & Data,,
2024-11-19,19 nov,Tuesday,10:39 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Enojado | Estresado | Ocupado | Vacaciones,,
2024-11-18,18 nov,Monday,10:51 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Enfermo | Pensativo | Vacaciones,,
2024-11-17,17 nov,Sunday,10:40 p.m.,Bien,Buen sueño | Feliz | Emocionado | Contento | Cansado | Ocupado | Lectura | Viaje | Vacaciones,,
2024-11-16,16 nov,Saturday,10:45 p.m.,Meh,Sueño medio | Emocionado | Relajado | Contento | Cansado | Ocupado | Lectura | Visita,,
2024-11-15,15 nov,Friday,10:45 p.m.,Bien,Sueño medio | Relajado | Contento | Ocupado | Lectura | IA & Data | Examen,,
2024-11-14,14 nov,Thursday,10:45 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Enfermo | Lectura | Skin care,,
2024-11-13,13 nov,Wednesday,10:49 p.m.,Meh,Buen sueño | Relajado | Inseguro | Enfermo | IA & Data | Skin care,,
2024-11-12,12 nov,Tuesday,10:45 p.m.,Bien,Buen sueño | Relajado | Motivado | Salida | Algoritmos | Skin care,,
2024-11-11,11 nov,Monday,10:45 p.m.,Bien,Sueño medio | Contento | Cansado | Ansioso | Procrastinar | Salida | IA & Data | Skin care,,
2024-11-10,10 nov,Sunday,11:31 p.m.,Bien,Buen sueño | Relajado | Contento | Productivo | Ocupado | Lectura | Hacer deberes | Cocinar | Skin care,,
2024-11-09,9 nov,Saturday,10:45 p.m.,Mal,Buen sueño | Cansado | Estresado | Ocupado | Desmotivado | Enfocado | Inglés | Proyecto,,
2024-11-08,8 nov,Friday,11:06 p.m.,Meh,Sueño malo | Relajado | Cansado | Ansioso | Estresado | Desesperado | IA & Data | Skin care,,
2024-11-07,7 nov,Thursday,10:45 p.m.,Bien,Sueño medio | Relajado | Contento | Comer sano | Lectura | Algoritmos | Cocinar | Examen | Skin care | Protector solar,,
2024-11-06,6 nov,Wednesday,11:03 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Productivo | Motivado | Comer sano | Agua | Enfocado | Inglés | IA & Data | Cocinar | Skin care,,
2024-11-05,5 nov,Tuesday,11:07 p.m.,Bien,Buen sueño | Relajado | Contento | Productivo | Motivado | Lectura | Enfocado | Hacer deberes | Algoritmos | Cocinar | Clases completas | Skin care | Protector solar,,
2024-11-04,4 nov,Monday,11:06 p.m.,Bien,Buen sueño | Relajado | Contento | Productivo | Motivado | Comer sano | Iniciar temprano | IA & Data | Algoritmos | Cocinar | Skin care | Protector solar,,
2024-11-03,3 nov,Sunday,10:52 p.m.,Bien,Buen sueño | Relajado | Contento | Productivo | Motivado | Enfermo | Lectura | Iniciar temprano | Enfocado | IA & Data | Skin care,,
2024-11-02,2 nov,Saturday,10:49 p.m.,Bien,Buen sueño | Feliz | Emocionado | Relajado | Contento | Productivo | Motivado | Comer sano | Agua | Lectura | Enfocado | IA & Data | Reunión | Skin care,,
2024-11-01,1 nov,Friday,10:45 p.m.,Meh,Buen sueño | Feliz | Emocionado | Relajado | Enojado | Estresado | Comer sano | Reunión | Skin care,,
2024-10-31,31 oct,Thursday,10:45 p.m.,Bien,Buen sueño | Relajado | Contento | Cansado | Ansioso | Estresado | Enfermo | Doctor | Evento | Skin care,,
2024-10-30,30 oct,Wednesday,10:31 p.m.,Bien,Sueño medio | Relajado | Contento | Ejercicio | Lectura | Hacer deberes | Compras | Skin care | Protector solar,,
2024-10-29,29 oct,Tuesday,10:48 p.m.,Bien,Sueño malo | Relajado | Contento | Cansado | Ejercicio | IA & Data | Reunión | Skin care | Protector solar,,
2024-10-28,28 oct,Monday,11:00 p.m.,Bien,Sueño malo | Relajado | Contento | Cansado | Procrastinar | Comer sano | Lectura | Salida | Compras | Clases completas | Skin care | Protector solar,,
2024-10-27,27 oct,Sunday,10:41 p.m.,Bien,Buen sueño | Relajado | Contento | Comer sano | Agua | Lectura | IA & Data | Haircut | Skin care,,
2024-10-26,26 oct,Saturday,10:50 p.m.,Bien,Buen sueño | Relajado | Contento | Ansioso | Enojado | Comer sano | Lectura | Competencia | Inglés | Hacer deberes,,
2024-10-25,25 oct,Friday,11:14 p.m.,Bien,Sueño medio | Relajado | Contento | Ejercicio | Comer sano | Agua,,
2024-10-24,24 oct,Thursday,11:57 p.m.,Bien,Sueño medio | Feliz | Emocionado | Relajado | Contento | Ocupado | Enfermo | Visita | Salida,,
2024-10-23,23 oct,Wednesday,11:29 p.m.,Bien,Sueño medio | Feliz | Emocionado | Contento | Productivo | Motivado | Ejercicio | Evento | Enfocado | Limpiar,,
2024-10-22,22 oct,Tuesday,11:36 p.m.,Bien,Sueño medio | Feliz | Emocionado | Relajado | Contento | Evento | Skin care,,
2024-10-21,21 oct,Monday,11:30 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Cansado | Procrastinar | Ejercicio | Comer sano | Agua | Correr / Cardio | Compras | Cocinar,,
2024-10-20,20 oct,Sunday,11:21 p.m.,Meh,Buen sueño | Relajado | Ansioso | Procrastinar | Lectura | Limpiar,,
2024-10-19,19 oct,Saturday,10:39 p.m.,Bien,Buen sueño | Relajado | Aburrido | Ansioso | Procrastinar | Inglés | Algoritmos,,
2024-10-18,18 oct,Friday,10:39 p.m.,Bien,Buen sueño | Relajado | Contento | Productivo | Ocupado | Comer sano | Reunión,,
2024-10-17,17 oct,Thursday,10:58 p.m.,Bien,Sueño medio | Relajado | Contento | Ejercicio | Comer sano | Agua | Algoritmos | Cocinar | Skin care,,
2024-10-16,16 oct,Wednesday,11:36 p.m.,Bien,Sueño medio | Relajado | Cansado | Estresado | Ocupado | Ejercicio | Comer sano | Agua | Salida | Iniciar temprano | Cocinar | Skin care,,
2024-10-15,15 oct,Tuesday,10:45 p.m.,Bien,Sueño medio | Contento | Cansado | Ejercicio | Comer sano | Agua | Cocinar | Skin care,,
2024-10-14,14 oct,Monday,10:23 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Productivo | Ocupado | Motivado | Enfermo | Ejercicio | Comer sano | Agua | Algoritmos | Compras | Cocinar,,
